pitch_type,zone,hand,n,ball,called,whiff,foul,out,single,double,hr,ball_pct,called_pct,whiff_pct,foul_pct,out_pct,single_pct,double_pct,hr_pct
CH,12,RL,34,33,0,0,1,0,0,0,0,97.1,0.0,0.0,2.9,0.0,0.0,0.0,0.0
CH,12,LR,803,606,0,45,67,63,15,6,1,75.5,0.0,5.6,8.3,7.8,1.9,0.7,0.1
CH,12,LL,38,20,0,3,11,4,0,0,0,52.6,0.0,7.9,28.9,10.5,0.0,0.0,0.0
CH,13,RR,637,311,0,155,119,32,11,6,3,48.8,0.0,24.3,18.7,5.0,1.7,0.9,0.5
CH,13,RL,3240,1803,0,625,343,356,101,10,2,55.6,0.0,19.3,10.6,11.0,3.1,0.3,0.1
CH,13,LR,1091,827,0,145,69,31,10,6,3,75.8,0.0,13.3,6.3,2.8,0.9,0.5,0.3
CH,13,LL,153,118,0,23,9,2,1,0,0,77.1,0.0,15.0,5.9,1.3,0.7,0.0,0.0
CH,14,RR,937,701,0,159,38,27,10,2,0,74.8,0.0,17.0,4.1,2.9,1.1,0.2,0.0
CH,14,RL,1631,1274,0,190,91,47,20,8,1,78.1,0.0,11.6,5.6,2.9,1.2,0.5,0.1
CH,14,LR,2393,1304,0,498,269,226,87,7,2,54.5,0.0,20.8,11.2,9.4,3.6,0.3,0.1
CH,14,LL,140,71,0,40,20,7,1,1,0,50.7,0.0,28.6,14.3,5.0,0.7,0.7,0.0
FS,1,RR,36,0,15,2,8,9,1,0,1,0.0,41.7,5.6,22.2,25.0,2.8,0.0,2.8
FS,1,RL,72,0,27,9,16,14,5,0,1,0.0,37.5,12.5,22.2,19.4,6.9,0.0,1.4
FS,1,LR,0,0,0,0,0,0,0,0,0,,,,,,,,
FS,1,LL,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
FS,2,RR,30,0,11,4,6,6,2,0,1,0.0,36.7,13.3,20.0,20.0,6.7,0.0,3.3
FS,2,RL,50,0,18,5,13,14,0,0,0,0.0,36.0,10.0,26.0,28.0,0.0,0.0,0.0
FS,2,LR,5,0,2,0,0,2,1,0,0,0.0,40.0,0.0,0.0,40.0,20.0,0.0,0.0
FS,2,LL,1,0,0,1,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
FS,3,RR,17,0,6,2,4,4,1,0,0,0.0,35.3,11.8,23.5,23.5,5.9,0.0,0.0
FS,3,RL,20,0,8,1,5,4,2,0,0,0.0,40.0,5.0,25.0,20.0,10.0,0.0,0.0
FS,3,LR,14,0,6,0,4,3,1,0,0,0.0,42.9,0.0,28.6,21.4,7.1,0.0,0.0
FS,3,LL,1,0,1,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FS,4,RR,93,0,18,9,38,22,4,1,1,0.0,19.4,9.7,40.9,23.7,4.3,1.1,1.1
FS,4,RL,255,0,51,31,62,83,20,6,2,0.0,20.0,12.2,24.3,32.5,7.8,2.4,0.8
FS,4,LR,5,0,5,0,0,0,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
FS,4,LL,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
FS,5,RR,92,0,12,10,38,22,7,1,2,0.0,13.0,10.9,41.3,23.9,7.6,1.1,2.2
FS,5,RL,138,0,28,12,46,39,9,2,2,0.0,20.3,8.7,33.3,28.3,6.5,1.4,1.4
FS,5,LR,19,0,2,3,6,4,1,0,3,0.0,10.5,15.8,31.6,21.1,5.3,0.0,15.8
FS,5,LL,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
FS,6,RR,41,0,14,7,7,8,3,2,0,0.0,34.1,17.1,17.1,19.5,7.3,4.9,0.0
FS,6,RL,40,0,14,3,12,6,2,1,2,0.0,35.0,7.5,30.0,15.0,5.0,2.5,5.0
FS,6,LR,34,0,8,2,11,11,2,0,0,0.0,23.5,5.9,32.4,32.4,5.9,0.0,0.0
FS,6,LL,3,0,0,1,1,1,0,0,0,0.0,0.0,33.3,33.3,33.3,0.0,0.0,0.0
FS,7,RR,98,0,21,16,33,20,3,4,1,0.0,21.4,16.3,33.7,20.4,3.1,4.1,1.0
FS,7,RL,369,0,66,74,87,103,33,5,1,0.0,17.9,20.1,23.6,27.9,8.9,1.4,0.3
FS,7,LR,17,0,4,6,5,1,1,0,0,0.0,23.5,35.3,29.4,5.9,5.9,0.0,0.0
FS,7,LL,0,0,0,0,0,0,0,0,0,,,,,,,,
